[2025-11-12 15:00:25] Mensaje desde hilo 4, iteración 0
[2025-11-12 15:00:25] Mensaje desde hilo 3, iteración 0
[2025-11-12 15:00:25] Mensaje desde hilo 2, iteración 0
[2025-11-12 15:00:25] Mensaje desde hilo 1, iteración 0
[2025-11-12 15:00:26] Mensaje desde hilo 4, iteración 1
[2025-11-12 15:00:26] Mensaje desde hilo 2, iteración 1
[2025-11-12 15:00:26] Mensaje desde hilo 1, iteración 1
[2025-11-12 15:00:26] Mensaje desde hilo 3, iteración 1
[2025-11-12 15:00:26] Mensaje desde hilo 4, iteración 2
[2025-11-12 15:00:26] Mensaje desde hilo 1, iteración 2
[2025-11-12 15:00:26] Mensaje desde hilo 2, iteración 2
[2025-11-12 15:00:26] Mensaje desde hilo 3, iteración 2
